iter	RMSE
0	0.2574906445
1	0.2447708816
2	0.2408885999
3	0.2389302779
4	0.2381801759
5	0.2369229721
6	0.2365193628
7	0.2362227343
8	0.2358372692
9	0.2357007551
10	0.2354876123
11	0.2352836496
12	0.2350241248
13	0.2348193253
14	0.2347477607
15	0.2345717344
16	0.234380792
17	0.2342853514
18	0.2342084823
19	0.2341027537
20	0.2340331317
21	0.2339327616
22	0.2338412384
23	0.2337505712
24	0.2336710659
25	0.2335419499
26	0.2334613571
27	0.2333682818
28	0.2333208285
29	0.2332406075
30	0.2332171413
31	0.2331859136
32	0.2331578423
33	0.2331304069
34	0.2330958212
35	0.2330653034
36	0.2330215966
37	0.2329460893
38	0.2328794127
39	0.2328281744
40	0.2327475746
41	0.232698382
42	0.2326716858
43	0.2326333374
44	0.232614715
45	0.2325654022
46	0.2325397475
47	0.2324947617
48	0.2324730155
49	0.2324541134
